skill
python
java
c++
sql
machine learning
deep learning
data analysis
nlp
pandas
numpy
scikit learn
tensorflow
pytorch
excel
power bi
tableau
react
node js
spring boot
docker
kubernetes
aws
git
linux
communication
teamwork
problem solving
